PDV_ID;NOME;CATEGORIA;ENDERECO;LOCAL;ESTADO;NR_CAIXAS;CLASIFICACAO_1;CLASIFICACAO_2;CLASIFICACAO_3;CLASIFICACAO_4;CLASIFICACAO_5;CLASIFICACAO_6;CLASIFICACAO_7;CLASIFICACAO_8;CLASIFICACAO_9;CLASIFICACAO_10;PRIMEIRA_TRANS;ULTIMA_TRANS;CNPJ;RAZAO_SOCIAL;REDE;TIPO_LOJA;MARCA;REGIAO;DATA_PROMO;PODE_PROMO
1;EMPORIO DEVON;AUTOSERVICIOS;RUA BAUCH, 893;MARINGA;PARANA;8;BRASIL;SUL;PARANA;INTERIOR;MARINGA;SUPERMERCADO;INDEPENDENTE;"";"";"";202109;202502;38617056776182;EMPORIO DEVON EIRELI;"";Supermercado;"";PARANA INTERIOR;;NO PUEDE PROMOCIONAR
2;MERCADO POLK COUNTY;AUTOSERVICIOS;AV CORMIER, 845;PONTA GROSSA;PARANA;2;BRASIL;SUL;PARANA;INTERIOR;PONTA GROSSA;CONVENIENCIA;INDEPENDENTE;"";"";"";201804;202405;20524544648538;MERCADO POLK COUNTY EIRELI;"";Conveniencia;"";PARANA INTERIOR;202405;PUEDE PROMOCIONAR
3;MERCADINHO BORDERS;AUTOSERVICIOS;AVENIDA HUDSON, 807;SANTOS;SAO PAULO;5;BRASIL;SUDESTE;SAO PAULO;INTERIOR;SANTOS;OUTROS;INDEPENDENTE;"";"";"";202108;202403;71060103547235;MERCADINHO BORDERS S.A.;"";Outros;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
4;ARMAZÉM WEST GLAMORGAN;AUTOSERVICIOS;R STREICH, 111;CAMPINAS;SAO PAULO;3;BRASIL;SUDESTE;SAO PAULO;INTERIOR;CAMPINAS;SUPERMERCADO;INDEPENDENTE;"";"";"";202105;202405;34297697083463;ARMAZÉM WEST GLAMORGAN EIRELI;"";Supermercado;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
5;EMPORIO CENTRAL;AUTOSERVICIOS;RUA KOHLER, 472;LONDRINA;PARANA;5;BRASIL;SUL;PARANA;INTERIOR;LONDRINA;CONVENIENCIA;INDEPENDENTE;"";"";"";201507;202507;39411364617743;EMPORIO CENTRAL S.A.;"";Conveniencia;"";PARANA INTERIOR;202507;PUEDE PROMOCIONAR
6;EMPORIO CRAWFORD COUNTY;AUTOSERVICIOS;AVENIDA BINS, 592;DUQUE DE CAXIAS;RIO DE JANEIRO;8;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;DUQUE DE CAXIAS;CONVENIENCIA;INDEPENDENTE;"";"";"";201805;202503;39074354286295;EMPORIO CRAWFORD COUNTY S.A.;"";Conveniencia;"";RIO DE JANEIRO INTERIOR;;NO PUEDE PROMOCIONAR
7;MERCADO HAMPSHIRE;AUTOSERVICIOS;RUA TREMBLAY, 296;MARINGA;PARANA;3;BRASIL;SUL;PARANA;INTERIOR;MARINGA;CONVENIENCIA;INDEPENDENTE;"";"";"";202001;202402;17665655566325;MERCADO HAMPSHIRE LTDA;"";Conveniencia;"";PARANA INTERIOR;202402;PUEDE PROMOCIONAR
8;SUPER COUNTY LONDONDERRY;AUTOSERVICIOS;R SCHUMM, 178;FOZ DO IGUAÇU;PARANA;5;BRASIL;SUL;PARANA;INTERIOR;FOZ DO IGUAÇU;OUTROS;INDEPENDENTE;"";"";"";201608;202503;42195276601414;SUPER COUNTY LONDONDERRY LTDA;"";Outros;"";PARANA INTERIOR;;NO PUEDE PROMOCIONAR
9;SUPER LANCASHIRE;AUTOSERVICIOS;RUA LAKIN, 624;SANTA MARIA;RIO GRANDE DO SUL;9;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;SANTA MARIA;OUTROS;INDEPENDENTE;"";"";"";202107;202408;29019650300103;SUPER LANCASHIRE LTDA;"";Outros;"";RIO GRANDE DO SUL INTERIOR;202408;PUEDE PROMOCIONAR
10;ARMAZÉM SHROPSHIRE;AUTOSERVICIOS;AVENIDA THOMPSON, 146;FOZ DO IGUAÇU;PARANA;10;BRASIL;SUL;PARANA;INTERIOR;FOZ DO IGUAÇU;SUPERMERCADO;INDEPENDENTE;"";"";"";201504;202403;75974667969191;ARMAZÉM SHROPSHIRE LTDA;"";Supermercado;"";PARANA INTERIOR;;NO PUEDE PROMOCIONAR
